Category,Resume
Business Analyst,"Data-driven business analyst specializing in product analytics and strategic planning. Expert in SQL, Power BI, and statistical analysis. Experience with A/B testing, user research, and market analysis. Strong communication and presentation skills. Experience working in cross-functional distributed teams."
Java Developer,"Senior Java engineer specializing in high-performance distributed systems. Expert in Spring ecosystem, Maven, and JUnit testing. Built event-driven architectures using Kafka and RabbitMQ. Experience with AWS, Docker, and Kubernetes for cloud-native deployments."
Automation Testing,"QA automation engineer with expertise in Selenium, Cypress, and Appium. Built test automation frameworks using Java and Python. Experience with CI/CD integration, API testing, and performance testing. Proficient in BDD, JUnit, and TestNG. Experience working in cross-functional distributed teams."
Automation Testing,"QA automation engineer with expertise in Selenium, Cypress, and Appium. Built test automation frameworks using Java and Python. Experience with CI/CD integration, API testing, and performance testing. Proficient in BDD, JUnit, and TestNG. Background in research methodology and academic publishing."
Business Analyst,"Business analyst with strong analytical skills in SQL, Excel, and Tableau. Experienced in requirements gathering, stakeholder management, and Agile methodology. Created business requirement documents and conducted gap analysis. Proficient in JIRA, Confluence, and process mapping. Background in research methodology and academic publishing."
DevOps Engineer,"Cloud infrastructure engineer specializing in Kubernetes orchestration and GitOps practices. Experience with multi-cloud environments (AWS, Azure, GCP). Built automated deployment pipelines using Jenkins and ArgoCD. Expert in infrastructure as code with Terraform and Ansible. Strong background in agile methodology and team collaboration."
Database Administrator,"Database administrator with expertise in PostgreSQL, MySQL, and Oracle. Experience in database optimization, backup and recovery, and high availability configurations. Proficient in SQL, Python scripting, and cloud database services."
Python Developer,"Backend Python developer specializing in scalable web applications. Expert in Django REST Framework, Celery, and RabbitMQ. Strong database design skills with PostgreSQL and MongoDB. Experience with Docker, Kubernetes, and AWS services. Passionate about clean code and test-driven development. Experience working in cross-functional distributed teams."
Data Science,"Experienced data scientist with expertise in Python, machine learning, and statistical analysis. Built predictive models using scikit-learn, TensorFlow, and XGBoost. Proficient in SQL, Pandas, and data visualization with Tableau. Conducted A/B testing and implemented recommendation systems. Experience with NLP, deep learning, and cloud platforms like AWS SageMaker."
Hadoop Developer,"Big data engineer with expertise in Hadoop ecosystem including Spark, Hive, and Kafka. Built data pipelines processing petabytes of data. Proficient in Python, Scala, and SQL. Experience with Snowflake, Databricks, and cloud data platforms. Additional experience with cloud computing and DevOps practices."
